REF_AREA,Reference area,MEASURE,Measure,TIME_PERIOD,OBS_VALUE
CRI,Costa Rica,ADMRDBUC,Diabetes hospital admission,2004,220.6
CRI,Costa Rica,ADMRDBUC,Diabetes hospital admission,2003,247.1
CRI,Costa Rica,ADMRDBUC,Diabetes hospital admission,2002,266.7
CRI,Costa Rica,ADMRDBUC,Diabetes hospital admission,2001,247.6
CRI,Costa Rica,ADMRDBUC,Diabetes hospital admission,2000,255.6
CRI,Costa Rica,ADMRDBUC,Diabetes hospital admission,2022,101.9
CRI,Costa Rica,ADMRDBUC,Diabetes hospital admission,2017,102
CRI,Costa Rica,ADMRDBUC,Diabetes hospital admission,2016,115.5
CRI,Costa Rica,ADMRDBUC,Diabetes hospital admission,2015,115
CRI,Costa Rica,ADMRDBUC,Diabetes hospital admission,2014,121.5
CRI,Costa Rica,ADMRDBUC,Diabetes hospital admission,2013,126.5
CRI,Costa Rica,ADMRDBUC,Diabetes hospital admission,2012,139.8
CRI,Costa Rica,ADMRDBUC,Diabetes hospital admission,2011,150.8
CRI,Costa Rica,ADMRDBUC,Diabetes hospital admission,2010,152.6
ISR,Israel,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2007,325.3
ISR,Israel,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2006,367
ISR,Israel,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2021,348.7
ISR,Israel,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2005,346.8
ISR,Israel,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2004,357.2
ISR,Israel,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2003,388.6
ISR,Israel,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2002,408.8
ISR,Israel,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2001,452
ISR,Israel,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2000,457.7
ISR,Israel,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2020,299.7
ISR,Israel,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2019,340.1
ISR,Israel,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2018,331.2
ISR,Israel,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2017,348.8
ISR,Israel,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2016,326.6
ISR,Israel,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2015,330.1
ISR,Israel,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2014,313.9
ISR,Israel,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2013,299.6
ISR,Israel,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2012,297.4
ISR,Israel,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2011,294.4
ISR,Israel,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2010,330.1
ISR,Israel,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2009,316.3
CAN,Canada,ADMRHYPT,Hypertension hospital admission,2016,14.8
CAN,Canada,ADMRHYPT,Hypertension hospital admission,2015,16.2
CAN,Canada,ADMRHYPT,Hypertension hospital admission,2014,15.6
CAN,Canada,ADMRHYPT,Hypertension hospital admission,2013,16.1
CAN,Canada,ADMRHYPT,Hypertension hospital admission,2012,15.9
CAN,Canada,ADMRHYPT,Hypertension hospital admission,2011,15.7
CAN,Canada,ADMRHYPT,Hypertension hospital admission,2010,15.9
CAN,Canada,ADMRHYPT,Hypertension hospital admission,2009,17.4
CAN,Canada,ADMRHYPT,Hypertension hospital admission,2007,17.7
CAN,Canada,ADMRHYPT,Hypertension hospital admission,2021,12.3
CAN,Canada,ADMRHYPT,Hypertension hospital admission,2020,13.2
CAN,Canada,ADMRHYPT,Hypertension hospital admission,2019,14.6
CAN,Canada,ADMRHYPT,Hypertension hospital admission,2018,14.7
CRI,Costa Rica,ADMRDBLE,Lower extremity amputation in diabetic patients using unlinked data,2008,17.2
CRI,Costa Rica,ADMRDBLE,Lower extremity amputation in diabetic patients using unlinked data,2007,17
CRI,Costa Rica,ADMRDBLE,Lower extremity amputation in diabetic patients using unlinked data,2006,18.7
CRI,Costa Rica,ADMRDBLE,Lower extremity amputation in diabetic patients using unlinked data,2005,22.5
CRI,Costa Rica,ADMRDBLE,Lower extremity amputation in diabetic patients using unlinked data,2004,18.5
CRI,Costa Rica,ADMRDBLE,Lower extremity amputation in diabetic patients using unlinked data,2003,17.4
CRI,Costa Rica,ADMRDBLE,Lower extremity amputation in diabetic patients using unlinked data,2002,19.6
CRI,Costa Rica,ADMRDBLE,Lower extremity amputation in diabetic patients using unlinked data,2001,18.3
CRI,Costa Rica,ADMRDBLE,Lower extremity amputation in diabetic patients using unlinked data,2000,22
CRI,Costa Rica,ADMRDBLE,Lower extremity amputation in diabetic patients using unlinked data,2022,9.9
CRI,Costa Rica,ADMRDBLE,Lower extremity amputation in diabetic patients using unlinked data,2017,14.6
CRI,Costa Rica,ADMRDBLE,Lower extremity amputation in diabetic patients using unlinked data,2016,14.4
CRI,Costa Rica,ADMRDBLE,Lower extremity amputation in diabetic patients using unlinked data,2015,14.4
CRI,Costa Rica,ADMRDBLE,Lower extremity amputation in diabetic patients using unlinked data,2014,15
CRI,Costa Rica,ADMRDBLE,Lower extremity amputation in diabetic patients using unlinked data,2013,14.4
CRI,Costa Rica,ADMRDBLE,Lower extremity amputation in diabetic patients using unlinked data,2012,16.8
CRI,Costa Rica,ADMRDBLE,Lower extremity amputation in diabetic patients using unlinked data,2011,18.6
CRI,Costa Rica,ADMRDBLE,Lower extremity amputation in diabetic patients using unlinked data,2010,17
LTU,Lithuania,ADMRDBUC,Diabetes hospital admission,2020,146.4
LTU,Lithuania,ADMRDBUC,Diabetes hospital admission,2019,224.6
LTU,Lithuania,ADMRDBUC,Diabetes hospital admission,2018,228.3
LTU,Lithuania,ADMRDBUC,Diabetes hospital admission,2017,224.1
LTU,Lithuania,ADMRDBUC,Diabetes hospital admission,2016,260.7
LTU,Lithuania,ADMRDBUC,Diabetes hospital admission,2015,255.8
LTU,Lithuania,ADMRDBUC,Diabetes hospital admission,2014,232.5
LTU,Lithuania,ADMRDBUC,Diabetes hospital admission,2013,228
LTU,Lithuania,ADMRDBUC,Diabetes hospital admission,2012,246.7
LTU,Lithuania,ADMRDBUC,Diabetes hospital admission,2022,172.7
NZL,New Zealand,ASCOCOMP,Asthma and chronic obstructive pulmonary disease hospital admission,2013,389.7
NZL,New Zealand,ASCOCOMP,Asthma and chronic obstructive pulmonary disease hospital admission,2012,421.7
NZL,New Zealand,ASCOCOMP,Asthma and chronic obstructive pulmonary disease hospital admission,2011,431.7
NZL,New Zealand,ASCOCOMP,Asthma and chronic obstructive pulmonary disease hospital admission,2010,435.4
NZL,New Zealand,ASCOCOMP,Asthma and chronic obstructive pulmonary disease hospital admission,2009,443.4
NZL,New Zealand,ASCOCOMP,Asthma and chronic obstructive pulmonary disease hospital admission,2008,442.3
NZL,New Zealand,ASCOCOMP,Asthma and chronic obstructive pulmonary disease hospital admission,2007,428.7
NZL,New Zealand,ASCOCOMP,Asthma and chronic obstructive pulmonary disease hospital admission,2006,443.3
NZL,New Zealand,ASCOCOMP,Asthma and chronic obstructive pulmonary disease hospital admission,2005,419.8
ROU,Romania,ADMRHYPT,Hypertension hospital admission,2014,159.4
ROU,Romania,ADMRHYPT,Hypertension hospital admission,2021,22.3
ROU,Romania,ADMRHYPT,Hypertension hospital admission,2020,29.7
ROU,Romania,ADMRHYPT,Hypertension hospital admission,2019,73
ROU,Romania,ADMRHYPT,Hypertension hospital admission,2018,83.5
ROU,Romania,ADMRHYPT,Hypertension hospital admission,2017,98.3
ROU,Romania,ADMRHYPT,Hypertension hospital admission,2016,105.5
HRV,Croatia,ADMRCHFL,Congestive heart failure hospital admission,2020,108.6
HRV,Croatia,ADMRCHFL,Congestive heart failure hospital admission,2019,127.2
HRV,Croatia,ADMRCHFL,Congestive heart failure hospital admission,2018,124.2
ITA,Italy,ADMRCHFL,Congestive heart failure hospital admission,2009,303
ITA,Italy,ADMRCHFL,Congestive heart failure hospital admission,2008,310.6
ITA,Italy,ADMRCHFL,Congestive heart failure hospital admission,2007,319.5
ITA,Italy,ADMRCHFL,Congestive heart failure hospital admission,2006,337.4
ITA,Italy,ADMRCHFL,Congestive heart failure hospital admission,2005,335.3
ITA,Italy,ADMRCHFL,Congestive heart failure hospital admission,2004,334.6
ITA,Italy,ADMRCHFL,Congestive heart failure hospital admission,2003,327
ITA,Italy,ADMRCHFL,Congestive heart failure hospital admission,2002,328.9
ITA,Italy,ADMRCHFL,Congestive heart failure hospital admission,2001,317.7
ITA,Italy,ADMRCHFL,Congestive heart failure hospital admission,2021,160.1
ITA,Italy,ADMRCHFL,Congestive heart failure hospital admission,2020,157.7
ITA,Italy,ADMRCHFL,Congestive heart failure hospital admission,2019,220.2
ITA,Italy,ADMRCHFL,Congestive heart failure hospital admission,2018,216.7
ITA,Italy,ADMRCHFL,Congestive heart failure hospital admission,2017,270.6
ITA,Italy,ADMRCHFL,Congestive heart failure hospital admission,2016,242.3
ITA,Italy,ADMRCHFL,Congestive heart failure hospital admission,2015,248.8
ITA,Italy,ADMRCHFL,Congestive heart failure hospital admission,2014,263.9
ITA,Italy,ADMRCHFL,Congestive heart failure hospital admission,2013,277.4
ITA,Italy,ADMRCHFL,Congestive heart failure hospital admission,2012,284.9
ITA,Italy,ADMRCHFL,Congestive heart failure hospital admission,2011,291.7
CHL,Chile,ADMRCHFL,Congestive heart failure hospital admission,2008,121.4
CHL,Chile,ADMRCHFL,Congestive heart failure hospital admission,2007,129.6
CHL,Chile,ADMRCHFL,Congestive heart failure hospital admission,2006,126.9
CHL,Chile,ADMRCHFL,Congestive heart failure hospital admission,2005,133.1
CHL,Chile,ADMRCHFL,Congestive heart failure hospital admission,2004,138.7
CHL,Chile,ADMRCHFL,Congestive heart failure hospital admission,2021,83.4
CHL,Chile,ADMRCHFL,Congestive heart failure hospital admission,2020,80.9
CHL,Chile,ADMRCHFL,Congestive heart failure hospital admission,2019,94.3
CHL,Chile,ADMRCHFL,Congestive heart failure hospital admission,2018,99.4
CHL,Chile,ADMRCHFL,Congestive heart failure hospital admission,2017,102.7
CHL,Chile,ADMRCHFL,Congestive heart failure hospital admission,2016,102
CHL,Chile,ADMRCHFL,Congestive heart failure hospital admission,2015,110.3
CHL,Chile,ADMRCHFL,Congestive heart failure hospital admission,2014,104.2
CHL,Chile,ADMRCHFL,Congestive heart failure hospital admission,2013,106.6
CHL,Chile,ADMRCHFL,Congestive heart failure hospital admission,2012,106.5
CHL,Chile,ADMRCHFL,Congestive heart failure hospital admission,2011,114.1
CHL,Chile,ADMRCHFL,Congestive heart failure hospital admission,2010,118.6
SGP,Singapore,ADMRASTH,Asthma hospital admission,2008,104.4
SGP,Singapore,ADMRASTH,Asthma hospital admission,2007,117.7
SGP,Singapore,ADMRASTH,Asthma hospital admission,2021,49.1
SGP,Singapore,ADMRASTH,Asthma hospital admission,2020,61.1
SGP,Singapore,ADMRASTH,Asthma hospital admission,2019,114.7
SGP,Singapore,ADMRASTH,Asthma hospital admission,2018,113.1
SGP,Singapore,ADMRASTH,Asthma hospital admission,2017,112.3
SGP,Singapore,ADMRASTH,Asthma hospital admission,2016,107.6
SGP,Singapore,ADMRASTH,Asthma hospital admission,2015,107
SGP,Singapore,ADMRASTH,Asthma hospital admission,2014,104.6
SGP,Singapore,ADMRASTH,Asthma hospital admission,2013,109
SGP,Singapore,ADMRASTH,Asthma hospital admission,2012,106.1
SGP,Singapore,ADMRASTH,Asthma hospital admission,2011,110.2
SGP,Singapore,ADMRASTH,Asthma hospital admission,2010,102.6
CHL,Chile,PATRDBLE,Lower extremity amputation in diabetic patients using linked data,2019,7.3
CHL,Chile,PATRDBLE,Lower extremity amputation in diabetic patients using linked data,2018,8.4
CHL,Chile,PATRDBLE,Lower extremity amputation in diabetic patients using linked data,2017,8.9
CHL,Chile,PATRDBLE,Lower extremity amputation in diabetic patients using linked data,2016,8.2
CHL,Chile,PATRDBLE,Lower extremity amputation in diabetic patients using linked data,2015,8.8
CHL,Chile,PATRDBLE,Lower extremity amputation in diabetic patients using linked data,2014,8.7
CHL,Chile,PATRDBLE,Lower extremity amputation in diabetic patients using linked data,2013,8.5
CHL,Chile,PATRDBLE,Lower extremity amputation in diabetic patients using linked data,2012,8
CHL,Chile,PATRDBLE,Lower extremity amputation in diabetic patients using linked data,2011,7.8
CHL,Chile,PATRDBLE,Lower extremity amputation in diabetic patients using linked data,2021,8.1
AUT,Austria,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2010,301.6
AUT,Austria,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2009,310.3
AUT,Austria,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2008,316.3
AUT,Austria,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2007,316.1
AUT,Austria,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2006,301.2
AUT,Austria,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2005,331
AUT,Austria,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2004,328.6
AUT,Austria,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2003,338.9
AUT,Austria,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2002,338.5
AUT,Austria,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2021,129.6
AUT,Austria,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2020,142.4
AUT,Austria,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2019,208.3
AUT,Austria,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2018,214.8
AUT,Austria,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2017,243.4
AUT,Austria,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2016,242.9
AUT,Austria,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2015,258
AUT,Austria,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2014,259.7
AUT,Austria,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2013,270.4
AUT,Austria,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2012,276.7
AUS,Australia,ADMRASTH,Asthma hospital admission,2013,61.1
AUS,Australia,ADMRASTH,Asthma hospital admission,2012,65.3
AUS,Australia,ADMRASTH,Asthma hospital admission,2011,70.6
AUS,Australia,ADMRASTH,Asthma hospital admission,2020,42
AUS,Australia,ADMRASTH,Asthma hospital admission,2019,59.6
AUS,Australia,ADMRASTH,Asthma hospital admission,2018,65.2
AUS,Australia,ADMRASTH,Asthma hospital admission,2017,67.8
AUS,Australia,ADMRASTH,Asthma hospital admission,2016,72.2
AUS,Australia,ADMRASTH,Asthma hospital admission,2015,64.7
MLT,Malta,ADMRASTH,Asthma hospital admission,2015,86.7
MLT,Malta,ADMRASTH,Asthma hospital admission,2014,71.7
MLT,Malta,ADMRASTH,Asthma hospital admission,2020,47.6
MLT,Malta,ADMRASTH,Asthma hospital admission,2019,88.2
MLT,Malta,ADMRASTH,Asthma hospital admission,2018,96.2
MLT,Malta,ADMRASTH,Asthma hospital admission,2017,91.1
NLD,Netherlands,ADMRCHFL,Congestive heart failure hospital admission,2015,167.7
NLD,Netherlands,ADMRCHFL,Congestive heart failure hospital admission,2014,160
NLD,Netherlands,ADMRCHFL,Congestive heart failure hospital admission,2012,194.6
NLD,Netherlands,ADMRCHFL,Congestive heart failure hospital admission,2011,191.1
NLD,Netherlands,ADMRCHFL,Congestive heart failure hospital admission,2010,200.2
NLD,Netherlands,ADMRCHFL,Congestive heart failure hospital admission,2009,198.8
NLD,Netherlands,ADMRCHFL,Congestive heart failure hospital admission,2008,189.9
NLD,Netherlands,ADMRCHFL,Congestive heart failure hospital admission,2007,194
NLD,Netherlands,ADMRCHFL,Congestive heart failure hospital admission,2006,192.5
NLD,Netherlands,ADMRCHFL,Congestive heart failure hospital admission,2021,147.8
NLD,Netherlands,ADMRCHFL,Congestive heart failure hospital admission,2020,142.6
NLD,Netherlands,ADMRCHFL,Congestive heart failure hospital admission,2019,161.7
NLD,Netherlands,ADMRCHFL,Congestive heart failure hospital admission,2018,154.1
NLD,Netherlands,ADMRCHFL,Congestive heart failure hospital admission,2017,161.1
CHL,Chile,ADMRASTH,Asthma hospital admission,2012,19.5
CHL,Chile,ADMRASTH,Asthma hospital admission,2011,17.3
CHL,Chile,ADMRASTH,Asthma hospital admission,2010,21.5
CHL,Chile,ADMRASTH,Asthma hospital admission,2009,21.2
CHL,Chile,ADMRASTH,Asthma hospital admission,2008,20.7
CHL,Chile,ADMRASTH,Asthma hospital admission,2007,22.7
CHL,Chile,ADMRASTH,Asthma hospital admission,2006,22.2
CHL,Chile,ADMRASTH,Asthma hospital admission,2005,25.3
CHL,Chile,ADMRASTH,Asthma hospital admission,2004,26.8
CHL,Chile,ADMRASTH,Asthma hospital admission,2021,8.4
CHL,Chile,ADMRASTH,Asthma hospital admission,2020,8.7
CHL,Chile,ADMRASTH,Asthma hospital admission,2019,16.5
CHL,Chile,ADMRASTH,Asthma hospital admission,2018,17.1
CHL,Chile,ADMRASTH,Asthma hospital admission,2017,19.1
CHL,Chile,ADMRASTH,Asthma hospital admission,2016,18.6
CHL,Chile,ADMRASTH,Asthma hospital admission,2015,17.3
