REF_AREA,Reference area,MEASURE,Medical technology,TIME_PERIOD,OBS_VALUE
AUS,Australia,MTU,Gamma cameras,2016,19.22
AUS,Australia,MTU,Gamma cameras,2015,19.4
AUS,Australia,MTU,Gamma cameras,2014,19.59
AUS,Australia,MTU,Gamma cameras,2013,19.98
AUS,Australia,MTU,Gamma cameras,2012,20.06
AUS,Australia,MTU,Gamma cameras,2011,20.23
AUS,Australia,MTU,Gamma cameras,2010,20.65
AUS,Australia,MTU,Gamma cameras,2009,20.33
AUS,Australia,MTU,Gamma cameras,2008,19.72
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,2023,16.36
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,2022,14.82
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,2021,14.99
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,2020,14.81
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,2019,14.8
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,2018,14.1
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,2017,14.15
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,2016,14.3
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,2015,14.49
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,2014,14.65
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,2013,13.84
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,2012,5.5
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,2011,5.6
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,2010,5.67
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,2009,5.72
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,2008,5.65
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,2007,5.19
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,2006,4.89
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,2005,4.26
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,2004,3.76
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,2003,3.7
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,2002,3.74
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,2001,3.79
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,2000,3.52
AUT,Austria,MTU,Computed tomography (CT) scanners,1996,24.25
AUT,Austria,MTU,Gamma cameras,2022,9.72
AUT,Austria,MTU,Magnetic resonance imaging (MRI) units,2001,11.69
AUT,Austria,MTU,Magnetic resonance imaging (MRI) units,2000,10.98
AUT,Austria,MTU,Magnetic resonance imaging (MRI) units,1999,11.01
AUT,Austria,MTU,Magnetic resonance imaging (MRI) units,1998,8.52
AUT,Austria,MTU,Magnetic resonance imaging (MRI) units,1997,8.53
AUT,Austria,MTU,Magnetic resonance imaging (MRI) units,1996,7.54
AUT,Austria,MTU,Magnetic resonance imaging (MRI) units,2015,20.74
AUT,Austria,MTU,Magnetic resonance imaging (MRI) units,2014,19.66
AUT,Austria,MTU,Magnetic resonance imaging (MRI) units,2013,19.23
AUT,Austria,MTU,Magnetic resonance imaging (MRI) units,2012,19.11
AUT,Austria,MTU,Magnetic resonance imaging (MRI) units,2011,18.71
AUT,Austria,MTU,Magnetic resonance imaging (MRI) units,2010,18.66
AUT,Austria,MTU,Magnetic resonance imaging (MRI) units,2009,18.46
AUT,Austria,MTU,Magnetic resonance imaging (MRI) units,2008,18.02
AUT,Austria,MTU,Magnetic resonance imaging (MRI) units,2007,17.72
AUT,Austria,MTU,Magnetic resonance imaging (MRI) units,2006,16.81
AUT,Austria,MTU,Magnetic resonance imaging (MRI) units,2005,16.17
AUT,Austria,MTU,Magnetic resonance imaging (MRI) units,2004,15.91
AUT,Austria,MTU,Magnetic resonance imaging (MRI) units,2003,13.55
AUT,Austria,MTU,Magnetic resonance imaging (MRI) units,2002,13.36
AUT,Austria,MTU,Positron emission tomography (PET) scanners,2021,2.68
AUT,Austria,MTU,Positron emission tomography (PET) scanners,2020,2.58
AUT,Austria,MTU,Positron emission tomography (PET) scanners,2019,2.7
AUT,Austria,MTU,Positron emission tomography (PET) scanners,2018,2.72
AUT,Austria,MTU,Positron emission tomography (PET) scanners,2017,2.73
AUT,Austria,MTU,Positron emission tomography (PET) scanners,2016,2.63
AUT,Austria,MTU,Positron emission tomography (PET) scanners,2015,2.32
AUT,Austria,MTU,Positron emission tomography (PET) scanners,2014,2.22
AUT,Austria,MTU,Positron emission tomography (PET) scanners,2013,2.12
AUT,Austria,MTU,Positron emission tomography (PET) scanners,2012,2.02
AUT,Austria,MTU,Positron emission tomography (PET) scanners,2011,2.03
AUT,Austria,MTU,Positron emission tomography (PET) scanners,2010,1.91
AUT,Austria,MTU,Positron emission tomography (PET) scanners,2009,2.04
AUT,Austria,MTU,Positron emission tomography (PET) scanners,2008,2.04
AUT,Austria,MTU,Positron emission tomography (PET) scanners,2007,1.93
AUT,Austria,MTU,Positron emission tomography (PET) scanners,2006,1.94
AUT,Austria,MTU,Positron emission tomography (PET) scanners,2005,1.95
AUT,Austria,MTU,Positron emission tomography (PET) scanners,2004,1.71
AUT,Austria,MTU,Positron emission tomography (PET) scanners,2003,1.6
AUT,Austria,MTU,Positron emission tomography (PET) scanners,2002,1.48
AUT,Austria,MTU,Positron emission tomography (PET) scanners,2001,1.37
AUT,Austria,MTU,Positron emission tomography (PET) scanners,2000,1.12
AUT,Austria,MTU,Positron emission tomography (PET) scanners,1999,0.75
AUT,Austria,MTU,Positron emission tomography (PET) scanners,1998,0.38
AUT,Austria,MTU,Magnetic resonance imaging (MRI) units,2022,26.4
AUT,Austria,MTU,Magnetic resonance imaging (MRI) units,2021,26.59
AUT,Austria,MTU,Magnetic resonance imaging (MRI) units,2020,25.34
AUT,Austria,MTU,Magnetic resonance imaging (MRI) units,2019,25.01
AUT,Austria,MTU,Magnetic resonance imaging (MRI) units,2018,23.53
AUT,Austria,MTU,Magnetic resonance imaging (MRI) units,2017,22.97
AUT,Austria,MTU,Magnetic resonance imaging (MRI) units,2016,22.43
AUT,Austria,MTU,Gamma cameras,2021,10.05
AUT,Austria,MTU,Gamma cameras,2020,10.21
AUT,Austria,MTU,Gamma cameras,2019,10.25
AUT,Austria,MTU,Gamma cameras,2018,10.52
AUT,Austria,MTU,Gamma cameras,2017,10.57
AUT,Austria,MTU,Gamma cameras,2016,10.64
AUT,Austria,MTU,Gamma cameras,2015,11.36
AUT,Austria,MTU,Gamma cameras,2014,11.59
AUT,Austria,MTU,Gamma cameras,2013,11.8
AUT,Austria,MTU,Gamma cameras,2012,12.11
AUT,Austria,MTU,Gamma cameras,2011,11.92
AUT,Austria,MTU,Gamma cameras,2010,12.2
AUT,Austria,MTU,Gamma cameras,2009,12.11
AUT,Austria,MTU,Gamma cameras,2008,12.14
AUT,Austria,MTU,Gamma cameras,2007,11.57
AUT,Austria,MTU,Gamma cameras,2006,12.34
AUT,Austria,MTU,Gamma cameras,2005,13.25
AUT,Austria,MTU,Gamma cameras,2004,13.22
AUT,Austria,MTU,Gamma cameras,2003,13.18
AUT,Austria,MTU,Gamma cameras,2002,13.24
AUT,Austria,MTU,Gamma cameras,2001,13.06
AUT,Austria,MTU,Gamma cameras,2000,12.86
AUT,Austria,MTU,Gamma cameras,1999,12.51
AUT,Austria,MTU,Gamma cameras,1998,12.29
AUT,Austria,MTU,Gamma cameras,1997,11.8
AUT,Austria,MTU,Gamma cameras,1996,11.43
AUT,Austria,MTU,Mammographs,2022,20.88
AUT,Austria,MTU,Mammographs,2021,21.11
AUT,Austria,MTU,Mammographs,2020,21.64
AUT,Austria,MTU,Mammographs,2019,21.74
AUT,Austria,MTU,Mammographs,2018,21.5
AUT,Austria,MTU,Mammographs,2017,21.83
AUT,Austria,MTU,Mammographs,2016,22.77
AUT,Austria,MTU,Mammographs,2015,23.41
AUT,Austria,MTU,Mammographs,2014,23.53
AUT,Austria,MTU,Mammographs,2013,22.3
AUT,Austria,MTU,Radiation therapy equipment,2022,5.85
AUT,Austria,MTU,Radiation therapy equipment,2021,5.7
AUT,Austria,MTU,Radiation therapy equipment,2020,5.72
AUT,Austria,MTU,Radiation therapy equipment,2019,5.52
AUT,Austria,MTU,Radiation therapy equipment,2018,5.2
AUT,Austria,MTU,Radiation therapy equipment,2017,5.34
AUT,Austria,MTU,Radiation therapy equipment,2016,4.92
AUT,Austria,MTU,Radiation therapy equipment,2015,4.87
AUT,Austria,MTU,Radiation therapy equipment,2014,4.92
AUT,Austria,MTU,Radiation therapy equipment,2013,4.95
AUT,Austria,MTU,Radiation therapy equipment,2012,4.87
AUT,Austria,MTU,Radiation therapy equipment,2011,4.77
AUT,Austria,MTU,Radiation therapy equipment,2010,5.14
AUT,Austria,MTU,Radiation therapy equipment,2009,5.04
AUT,Austria,MTU,Radiation therapy equipment,2008,5.05
AUT,Austria,MTU,Radiation therapy equipment,2007,4.82
AUT,Austria,MTU,Radiation therapy equipment,2006,4.84
AUT,Austria,MTU,Radiation therapy equipment,2005,4.62
AUT,Austria,MTU,Radiation therapy equipment,2004,4.53
AUT,Austria,MTU,Radiation therapy equipment,2003,4.43
AUT,Austria,MTU,Radiation therapy equipment,2002,4.45
AUT,Austria,MTU,Radiation therapy equipment,2001,4.48
AUT,Austria,MTU,Radiation therapy equipment,2000,4.24
AUT,Austria,MTU,Radiation therapy equipment,1999,4.25
AUT,Austria,MTU,Radiation therapy equipment,1998,4.14
AUT,Austria,MTU,Radiation therapy equipment,1997,3.77
AUT,Austria,MTU,Radiation therapy equipment,1996,3.27
AUT,Austria,MTU,Positron emission tomography (PET) scanners,2022,2.54
AUT,Austria,MTU,Computed tomography (CT) scanners,2022,28.39
AUT,Austria,MTU,Computed tomography (CT) scanners,2021,28.49
AUT,Austria,MTU,Computed tomography (CT) scanners,2020,28.48
AUT,Austria,MTU,Computed tomography (CT) scanners,2019,28.72
AUT,Austria,MTU,Computed tomography (CT) scanners,2018,28.85
AUT,Austria,MTU,Computed tomography (CT) scanners,2017,28.65
AUT,Austria,MTU,Computed tomography (CT) scanners,2016,29.06
AUT,Austria,MTU,Computed tomography (CT) scanners,2015,28.97
AUT,Austria,MTU,Computed tomography (CT) scanners,2014,29.38
AUT,Austria,MTU,Computed tomography (CT) scanners,2013,29.61
AUT,Austria,MTU,Computed tomography (CT) scanners,2012,29.79
AUT,Austria,MTU,Computed tomography (CT) scanners,2011,29.56
AUT,Austria,MTU,Computed tomography (CT) scanners,2010,29.9
AUT,Austria,MTU,Computed tomography (CT) scanners,2009,29.37
AUT,Austria,MTU,Computed tomography (CT) scanners,2008,29.68
AUT,Austria,MTU,Computed tomography (CT) scanners,2007,30.02
AUT,Austria,MTU,Computed tomography (CT) scanners,2006,29.87
AUT,Austria,MTU,Computed tomography (CT) scanners,2005,29.67
AUT,Austria,MTU,Computed tomography (CT) scanners,2004,29.26
AUT,Austria,MTU,Computed tomography (CT) scanners,2003,27.22
AUT,Austria,MTU,Computed tomography (CT) scanners,2002,27.1
AUT,Austria,MTU,Computed tomography (CT) scanners,2001,26.61
AUT,Austria,MTU,Computed tomography (CT) scanners,2000,26.09
AUT,Austria,MTU,Computed tomography (CT) scanners,1999,26.03
AUT,Austria,MTU,Computed tomography (CT) scanners,1998,26.07
BEL,Belgium,MTU,Mammographs,2015,36.13
BEL,Belgium,MTU,Mammographs,2014,36.85
BEL,Belgium,MTU,Positron emission tomography (PET) scanners,2007,2.07
BEL,Belgium,MTU,Positron emission tomography (PET) scanners,2006,2.46
BEL,Belgium,MTU,Positron emission tomography (PET) scanners,2005,2.58
BEL,Belgium,MTU,Positron emission tomography (PET) scanners,2004,2.59
BEL,Belgium,MTU,Positron emission tomography (PET) scanners,2003,2.22
BEL,Belgium,MTU,Positron emission tomography (PET) scanners,2002,2.23
BEL,Belgium,MTU,Positron emission tomography (PET) scanners,2021,2.86
BEL,Belgium,MTU,Positron emission tomography (PET) scanners,2020,2.87
BEL,Belgium,MTU,Positron emission tomography (PET) scanners,2019,2.88
BEL,Belgium,MTU,Positron emission tomography (PET) scanners,2018,2.63
BEL,Belgium,MTU,Positron emission tomography (PET) scanners,2017,2.64
BEL,Belgium,MTU,Positron emission tomography (PET) scanners,2016,2.12
BEL,Belgium,MTU,Positron emission tomography (PET) scanners,2015,2.58
BEL,Belgium,MTU,Positron emission tomography (PET) scanners,2014,2.68
BEL,Belgium,MTU,Positron emission tomography (PET) scanners,2013,2.52
BEL,Belgium,MTU,Positron emission tomography (PET) scanners,2012,2.44
BEL,Belgium,MTU,Positron emission tomography (PET) scanners,2011,2.36
BEL,Belgium,MTU,Positron emission tomography (PET) scanners,2010,2.57
BEL,Belgium,MTU,Positron emission tomography (PET) scanners,2009,2.5
BEL,Belgium,MTU,Positron emission tomography (PET) scanners,2008,2.15
BEL,Belgium,MTU,Magnetic resonance imaging (MRI) units,2009,10.65
BEL,Belgium,MTU,Magnetic resonance imaging (MRI) units,2008,10.37
BEL,Belgium,MTU,Magnetic resonance imaging (MRI) units,2007,7.53
BEL,Belgium,MTU,Magnetic resonance imaging (MRI) units,2006,7.11
BEL,Belgium,MTU,Magnetic resonance imaging (MRI) units,2005,6.97
BEL,Belgium,MTU,Magnetic resonance imaging (MRI) units,2004,7.01
BEL,Belgium,MTU,Magnetic resonance imaging (MRI) units,2003,6.84
BEL,Belgium,MTU,Magnetic resonance imaging (MRI) units,2002,6.58
BEL,Belgium,MTU,Computed tomography (CT) scanners,2023,26.12
BEL,Belgium,MTU,Computed tomography (CT) scanners,2022,25.6
BEL,Belgium,MTU,Computed tomography (CT) scanners,2021,24.58
BEL,Belgium,MTU,Computed tomography (CT) scanners,2020,24.07
BEL,Belgium,MTU,Computed tomography (CT) scanners,2019,24.17
BEL,Belgium,MTU,Computed tomography (CT) scanners,2018,23.94
BEL,Belgium,MTU,Computed tomography (CT) scanners,2017,23.88
BEL,Belgium,MTU,Computed tomography (CT) scanners,2016,23.99
BEL,Belgium,MTU,Computed tomography (CT) scanners,2015,23.67
BEL,Belgium,MTU,Computed tomography (CT) scanners,2014,21.82
BEL,Belgium,MTU,Computed tomography (CT) scanners,2013,23.01
BEL,Belgium,MTU,Computed tomography (CT) scanners,2012,15.09
BEL,Belgium,MTU,Computed tomography (CT) scanners,2011,13.83
BEL,Belgium,MTU,Computed tomography (CT) scanners,2010,13.95
BEL,Belgium,MTU,Computed tomography (CT) scanners,2009,14.26
BEL,Belgium,MTU,Computed tomography (CT) scanners,2008,13.91
BEL,Belgium,MTU,Computed tomography (CT) scanners,2007,13.08
BEL,Belgium,MTU,Computed tomography (CT) scanners,2006,12.51
BEL,Belgium,MTU,Computed tomography (CT) scanners,2005,12.79
BEL,Belgium,MTU,Computed tomography (CT) scanners,2004,11.23
BEL,Belgium,MTU,Computed tomography (CT) scanners,2003,10.51
BEL,Belgium,MTU,Positron emission tomography (PET) scanners,2023,2.82
BEL,Belgium,MTU,Positron emission tomography (PET) scanners,2022,2.83
BEL,Belgium,MTU,Mammographs,2013,37.03
BEL,Belgium,MTU,Mammographs,2012,38.13
BEL,Belgium,MTU,Mammographs,2011,38.02
BEL,Belgium,MTU,Mammographs,2010,39.19
BEL,Belgium,MTU,Mammographs,2009,39.37
BEL,Belgium,MTU,Mammographs,2008,39.31
BEL,Belgium,MTU,Mammographs,2007,38.59
BEL,Belgium,MTU,Mammographs,2006,37.64
BEL,Belgium,MTU,Mammographs,2005,38.46
BEL,Belgium,MTU,Mammographs,2004,39.06
BEL,Belgium,MTU,Mammographs,2003,38.26
BEL,Belgium,MTU,Mammographs,2002,36.87
BEL,Belgium,MTU,Gamma cameras,2020,27.03
BEL,Belgium,MTU,Gamma cameras,2018,24.82
BEL,Belgium,MTU,Gamma cameras,2017,25.73
BEL,Belgium,MTU,Gamma cameras,2016,25.68
BEL,Belgium,MTU,Gamma cameras,2015,25.81
BEL,Belgium,MTU,Gamma cameras,2014,25.94
BEL,Belgium,MTU,Gamma cameras,2013,23.64
BEL,Belgium,MTU,Gamma cameras,2012,28.91
BEL,Belgium,MTU,Gamma cameras,2011,28.65
BEL,Belgium,MTU,Gamma cameras,2010,29.55
BEL,Belgium,MTU,Gamma cameras,2009,29.92
BEL,Belgium,MTU,Gamma cameras,2008,29.6
BEL,Belgium,MTU,Gamma cameras,2007,30.49
BEL,Belgium,MTU,Gamma cameras,2006,30.81
BEL,Belgium,MTU,Gamma cameras,2005,31.68
BEL,Belgium,MTU,Gamma cameras,2004,32.15
BEL,Belgium,MTU,Gamma cameras,2003,32
BEL,Belgium,MTU,Gamma cameras,2002,30.97
BEL,Belgium,MTU,Gamma cameras,2001,28.39
BEL,Belgium,MTU,Gamma cameras,2000,28.49
BEL,Belgium,MTU,Radiation therapy equipment,2017,18.42
BEL,Belgium,MTU,Radiation therapy equipment,2016,17.8
BEL,Belgium,MTU,Radiation therapy equipment,2015,18.15
BEL,Belgium,MTU,Radiation therapy equipment,2014,18.25
BEL,Belgium,MTU,Radiation therapy equipment,2013,16.9
BEL,Belgium,MTU,Radiation therapy equipment,2012,15.09
BEL,Belgium,MTU,Radiation therapy equipment,2011,15.37
BEL,Belgium,MTU,Radiation therapy equipment,2010,15.14
BEL,Belgium,MTU,Radiation therapy equipment,2009,14.45
BEL,Belgium,MTU,Radiation therapy equipment,2008,14.66
BEL,Belgium,MTU,Radiation therapy equipment,2007,14.12
BEL,Belgium,MTU,Radiation therapy equipment,2006,12.8
BEL,Belgium,MTU,Radiation therapy equipment,2005,12.79
BEL,Belgium,MTU,Radiation therapy equipment,2004,12.76
BEL,Belgium,MTU,Radiation therapy equipment,2003,12.63
BEL,Belgium,MTU,Radiation therapy equipment,2002,12.68
BEL,Belgium,MTU,Radiation therapy equipment,2001,13.12
BEL,Belgium,MTU,Radiation therapy equipment,2000,12.49
BEL,Belgium,MTU,Magnetic resonance imaging (MRI) units,2023,11.61
BEL,Belgium,MTU,Magnetic resonance imaging (MRI) units,2022,11.68
BEL,Belgium,MTU,Magnetic resonance imaging (MRI) units,2021,11.43
BEL,Belgium,MTU,Magnetic resonance imaging (MRI) units,2020,11.47
BEL,Belgium,MTU,Magnetic resonance imaging (MRI) units,2019,11.52
BEL,Belgium,MTU,Magnetic resonance imaging (MRI) units,2018,11.66
BEL,Belgium,MTU,Magnetic resonance imaging (MRI) units,2017,11.63
BEL,Belgium,MTU,Magnetic resonance imaging (MRI) units,2016,11.69
BEL,Belgium,MTU,Magnetic resonance imaging (MRI) units,2015,11.75
BEL,Belgium,MTU,Magnetic resonance imaging (MRI) units,2014,11.81
BEL,Belgium,MTU,Magnetic resonance imaging (MRI) units,2013,10.88
BEL,Belgium,MTU,Magnetic resonance imaging (MRI) units,2012,10.66
BEL,Belgium,MTU,Magnetic resonance imaging (MRI) units,2011,10.73
BEL,Belgium,MTU,Magnetic resonance imaging (MRI) units,2010,10.65
BEL,Belgium,MTU,Mammographs,2020,36.5
BEL,Belgium,MTU,Mammographs,2019,34.46
BEL,Belgium,MTU,Mammographs,2018,36.13
BEL,Belgium,MTU,Mammographs,2017,36.66
CAN,Canada,MTU,Computed tomography (CT) scanners,2005,11.57
CAN,Canada,MTU,Computed tomography (CT) scanners,2004,10.68
CAN,Canada,MTU,Gamma cameras,2009,19.15
CAN,Canada,MTU,Gamma cameras,2007,19.49
CAN,Canada,MTU,Gamma cameras,2006,19.22
CAN,Canada,MTU,Gamma cameras,2005,19.35
CAN,Canada,MTU,Gamma cameras,2004,19.19
CAN,Canada,MTU,Gamma cameras,2003,19.09
CAN,Canada,MTU,Positron emission tomography (PET) scanners,2011,1.31
CAN,Canada,MTU,Positron emission tomography (PET) scanners,2010,1.18
CAN,Canada,MTU,Positron emission tomography (PET) scanners,2009,1.13
CAN,Canada,MTU,Positron emission tomography (PET) scanners,2007,0.94
CAN,Canada,MTU,Positron emission tomography (PET) scanners,2006,0.83
CAN,Canada,MTU,Positron emission tomography (PET) scanners,2005,0.59
